Name,Icon Image,Photo Image,House Image,Species,Gender,Personality,Subtype,Hobby,Birthday,Catchphrase,Favorite Song,Favorite Saying,Style 1,Style 2,Color 1,Color 2,Default Clothing,Default Umbrella,Wallpaper,Flooring,Furniture List,Furniture Name List,DIY Workbench,Kitchen Equipment,Version Added,Name Color,Bubble Color,Filename,Unique Entry ID
Keaton,,,,Eagle,Male,Smug,A,Music,6/1,wingo,Drivin',"Even in a room full of fools, someone is the smartest.",Gorgeous,Cool,Blue,White,4212,logo umbrella,tree-lined wall,parking flooring,144;146;146;1708;1881;3556;3672;4140;4759;4759;4759;7262,manhole cover;cone;cone;cassette player;plastic canister;bamboo stopblock;cardboard box;retro gas pump;throwback race-car bed;throwback race-car bed;throwback race-car bed;metal can,"3943,0_0","3251,2_0",1.0.0,#fffce9,#3fd8e0,pbr08,WRueK9fukhKgMrWZa
Ken,,,,Chicken,Male,Smug,A,Education,12/23,no doubt,K.K. Rally,C'est la vie!,Cool,Simple,Purple,Blue,3460,paper parasol,standard tearoom wall,tatami,722;725;3407;3622;3802;5636;7282;7391;10742;10743,hearth;paper lantern;katana;floor seat;pine bonsai tree;wooden-plank sign;hanging scroll;tatami bed;bamboo stool;bamboo speaker,"3122,0_0",717,1.0.0,#9ae8df,#6b75ce,chn13,gQZ4xwZeRvqmswoGY
Ketchup,,,,Duck,Female,Peppy,A,Play,7/27,bitty,Neapolitan,"When in doubt, eat a tomato!",Cute,Cute,Aqua,White,4737,fairy-tale umbrella,ivy wall,backyard lawn,1082;1143;1157;1631;2020;3619;3946;3960;3962;4003;4043;5970;7405,picnic basket;smoker;brick oven;garden faucet;director's chair;soup kettle;outdoor table;handy water cooler;inflatable sofa;cute music player;log round table;firewood;red vinyl sheet,"3122,2_0","3251,2_0",1.0.0,#fffad4,#ff4040,duk13,CaQE3xJ4A7tgQXDMW
Kevin,,,,Pig,Male,Jock,A,Play,4/26,weeweewee,K.K. Rockabilly,Sometimes it's OK to get dirty.,Active,Simple,Black,Red,4366,busted umbrella,gray shanty wall,concrete flooring,787;1452;3431;3672;4013;4026;7151;7152;7339;7529;7800;7845;9766,tape deck;weight bench;wall fan;cardboard box;punching bag;utility sink;red corner;neutral corner;rubber mud mat;folding chair;protein shaker bottle;pull-up-bar stand;mini fridge,"3943,3_0","3251,0_0",1.0.0,#874c25,#ffaa3b,pig15,fGznAwhaxGN66K38Q
Kid Cat,,,,Cat,Male,Jock,B,Fitness,8/1,psst,Go K.K. Rider,Crime doesn't pay!,Active,Simple,Red,Red,6888,vinyl umbrella,chain-link fence,sandlot,144;787;1452;1567;2556;2614;3672;4226;7845,manhole cover;tape deck;weight bench;oil barrel;garbage pail;mountain bike;cardboard box;basketball hoop;pull-up-bar stand,7142,"3251,2_0",1.0.0,#fffad4,#ff4040,cat10,Jd6z54x98v4uJhubB
Kidd,,,,Goat,Male,Smug,B,Education,6/28,wut,K.K. Tango,"Be yourself, everyone else is already taken.",Elegant,Cool,Gray,White,3474,logo umbrella,gray molded-panel wall,purple Moroccan flooring,742;794;1851;2554;2776;4017;4030;4046;4052;4080;4114;4129,fireplace;phonograph;rocket lamp;double sofa;tankless toilet;shower set;bathroom towel rack;rattan end table;rattan bed;long bathtub;tissue box;monstera,"3122,2_0","3616,0_0",1.0.0,#4f5d72,#d9d9ff,goa07,Pv4qNLnQ4NquvddfQ
Kiki,,,,Cat,Female,Normal,B,Education,10/8,kitty cat,Only Me,"Nothing ventured, nothing gained.",Simple,Simple,Brown,Beige,3579,sunny parasol,mod wall,simple white flooring,915;1081;3270;3271;3943;3950;3952;4003;8465,cuckoo clock;upright piano;ironwood kitchenette;ironwood cupboard;ironwood DIY workbench;antique chair;antique table;cute music player;velvet stool,"3943,0_0","3270,1_0",1.0.0,#fffce9,#515151,cat04,QTwru2TFs99vCznLg
Kitt,,,,Kangaroo,Female,Normal,B,Education,10/11,child,Stale Cupcakes,Funny parents have funny kids.,Elegant,Simple,Purple,Red,4290,eggy parasol,arched-window wall,simple white flooring,88;742;794;1081;1495;3270;3282;3681;4027;4041;4043;5543;6818;8395;9547,ringtoss;fireplace;phonograph;upright piano;dolly;ironwood kitchenette;pop-up toaster;piano bench;floral swag;log bed;log round table;wooden-block stool;ornament mobile;yellow kitchen mat;yellow small round mat,"3943,4_0","3270,4_0",1.0.0,#fffce9,#c0ab72,kgr00,jjReK7y42rnNZmQe6
Kitty,,,,Cat,Female,Snooty,B,Fashion,2/15,mrowrr,K.K. Chorale,"If you want something done well, do it yourself.",Elegant,Gorgeous,Green,Gray,8954,striped umbrella,blue molded-panel wall,arabesque flooring,742;794;1081;2554;3681;3951;3957;4106,fireplace;phonograph;upright piano;double sofa;piano bench;antique console table;antique bed;pendulum clock,"3943,2_0","3616,7_0",1.0.0,#fffce9,#c0ab72,cat14,E6MnPthbMdNSvhHE5
Klaus,,,,Bear,Male,Smug,A,Education,3/31,strudel,K.K. Sonata,Pride goes before a fall.,Simple,Simple,Gray,White,3570,two-tone umbrella,stately wall,stone tile,794;1840;2776;3165;3165;3468;4017;4073;4098;5338;5956;5959,phonograph;whirlpool bath;tankless toilet;bathrobe;bathrobe;beach towel;shower set;classic pitcher;bidet;simple panel;Aquarius urn;Cancer table,"3943,4_0","3616,7_0",1.0.0,#498992,#acc8cf,bea14,cFgAWnZ4nhq7DfrN7
Knox,,,,Chicken,Male,Cranky,B,Education,11/23,cluckling,K.K. Chorale,A chicken's coop is its castle.,Elegant,Gorgeous,Brown,Red,8229,two-tone umbrella,palace wall,palace tile,794;1081;3772;3772;3772;3772;5956;5959;7348;7348;8825;8825;8825;8825,phonograph;upright piano;golden candlestick;golden candlestick;golden candlestick;golden candlestick;Aquarius urn;Cancer table;red carpet;red carpet;golden casket;golden casket;golden casket;golden casket,"3943,3_0","3270,3_0",1.0.0,#8b5f57,#d8cc39,chn11,25GGGSHzwEnKmepJk
Kody,,,,Bear cub,Male,Jock,B,Fitness,9/28,grah grah,My Place,The sky's the limit!,Active,Simple,Colorful,White,8477,orange umbrella,blue playroom wall,blue dot flooring,2560;3122;3438;3439;3449;4003;4111;4753;4756;4759;4761;4762;5543,wooden chest;mini DIY workbench;wooden end table;wooden table;wooden stool;cute music player;old-fashioned alarm clock;throwback wrestling figure;throwback wall clock;throwback race-car bed;throwback rocket;throwback container;wooden-block stool,"3122,4_0","3251,3_0",1.0.0,#fffce9,#55cfff,cbr04,j9pPANZ9zsm6Mobh2
Kyle,,,,Wolf,Male,Smug,A,Music,12/6,alpha,K.K. Metal,Never trust a sheep in wolf's clothing.,Gorgeous,Cool,Black,White,3676,spider umbrella,gray shanty wall,steel flooring,849;950;1412;1645;1803;1875;3681;4338;7161;9503,amp;effects rack;TV camera;electric guitar;drum set;grand piano;piano bench;portable record player;cardboard bed;mic stand,"3943,3_0",3615,1.0.0,#fffce9,#e8b010,wol10,Q68JosFG2FvzG7QC3
Leonardo,,,,Tiger,Male,Jock,B,Fitness,5/15,flexin',K.K. Metal,That's the way the energy bar crumbles.,Active,Gorgeous,Red,Blue,4343,red umbrella,skull wall,leopard-print flooring,796;950;1644;1850;3200;3672;3943;4138;4441;4687;7257;7525;7528;8096,retro stereo;effects rack;rock guitar;laptop;ironwood bed;cardboard box;ironwood DIY workbench;diner counter chair;diner mini table;toolbox;pedal board;tool shelf;tool cart;record box,"3943,2_0","3270,1_0",1.0.0,#9b553a,#ffd00d,tig04,bZqAHvDsp82Ptify8
Leopold,,,,Lion,Male,Smug,A,Education,8/14,lion cub,Mr. K.K.,"The bigger the fish, the bigger your dinner.",Elegant,Gorgeous,Purple,Green,3599,logo umbrella,green painted-wood wall,natural-block flooring,833;833;870;1326;1330;1750;2013;2014;2014;3428;3584;3968;4099,upright locker;upright locker;book stands;skeleton;basic teacher's desk;document stack;lecture-hall bench;lecture-hall desk;lecture-hall desk;wall-mounted TV (50 in.);study poster;homework set;formal paper,"3122,0_0","3270,1_0",1.0.0,#fffce9,#e4b887,lon04,nn3GdKz434cBryvyC
Lily,,,,Frog,Female,Normal,B,Education,2/4,toady,Farewell,Don't jump to conclusions!,Cute,Simple,White,Yellow,9576,petal parasol,misty-garden wall,blue dot flooring,1757;3251;3400;3445;3683;4003;4017;4030;4046;4048;4052;4054;5338;5338;5543;7234;9766,claw-foot tub;gas range;dish-drying rack;standard umbrella stand;plain sink;cute music player;shower set;bathroom towel rack;rattan end table;rattan towel basket;rattan bed;rattan low table;simple panel;simple panel;wooden-block stool;hyacinth lamp;mini fridge,"3995,1_0","3251,1_0",1.0.0,#fffce9,#00d1bd,flg00,CQG32Qp7hhepeaRbg
Limberg,,,,Mouse,Male,Cranky,B,Education,10/17,squinky,K.K. Folk,Don't build a better mousetrap.,Simple,Cool,Green,Blue,3164,bat umbrella,autumn wall,mossy-garden flooring,1111;4271;4271;7390;7408;7788;10743,outdoor bath;red-leaf pile;red-leaf pile;leaf stool;maple-leaf pond stone;leaf campfire;bamboo speaker,7142,717,1.0.0,#874c25,#ffaa3b,mus01,BnXXdXegMXE9HmZiy
Lionel,,,,Lion,Male,Smug,A,Music,7/29,precisely,K.K. Moody,Love is blind.,Gorgeous,Active,Green,Gray,3171,green umbrella,cityscape wall,simple blue flooring,794;1840;2554;2731;3783;3784;3951;3957;3958;7821;9766,phonograph;whirlpool bath;double sofa;digital alarm clock;den desk;den chair;antique console table;antique bed;antique mini table;bathrobe;mini fridge,"3943,2_0","3270,2_0",1.0.0,#fffce9,#e4b887,lon08,EQYQEL4crTYEN9yJs
Lobo,,,,Wolf,Male,Cranky,B,Education,11/5,ah-rooooo,K.K. Rock,"If it's not one thing, it's another.",Cool,Active,Black,Beige,4401,paper parasol,rustic-stone wall,rosewood flooring,793;2770;3064;3943;3967;3992;4036;4037;4041;4043;4044;4119;8417;8623,high-end stereo;chessboard;cooler box;ironwood DIY workbench;broom and dustpan;key holder;log decorative shelves;log wall-mounted clock;log bed;log round table;log extra-long sofa;macrame tapestry;wall-mounted tool board;fishing vest,"3943,0_0","3270,0_0",1.0.0,#fffce9,#7352e8,wol01,9QsHyDimk75LPvBsn
Lolly,,,,Cat,Female,Normal,B,Music,3/27,bonbon,Forest Life,Laughter is the best medicine.,Simple,Simple,Gray,Pink,3631,snowflake umbrella,modern wood wall,green vinyl flooring,998;1557;1558;1561;2554;3122;3208;3449;3785;3785;4109;4111;4338,kitchen island;wooden-block bed;wooden-block bookshelf;wooden-block chest;double sofa;mini DIY workbench;wooden-block wall clock;wooden stool;potted ivy;potted ivy;double-door refrigerator;old-fashioned alarm clock;portable record player,"3122,3_0","998,3_0",1.0.0,#85a2af,#bff2ff,cat18,ucvTsRXewrZsFj64Y
Lopez,,,,Deer,Male,Smug,A,Education,8/20,badoom,K.K. Jazz,Always look both ways before crossing the street.,Gorgeous,Gorgeous,Gray,Gray,4507,gelato umbrella,modern wood wall,modern wood flooring,704;954;1043;1103;2713;3195;3200;3270;3271;3275;3340;3951;3993;4117;4338;7334,tapestry;espresso maker;microwave;rocking chair;refrigerator;ironwood cart;ironwood bed;ironwood kitchenette;ironwood cupboard;ironwood clock;deer decoration;antique console table;analog kitchen scale;wood-burning stove;portable record player;ivory small round mat,"3943,1_0","3270,1_0",1.0.0,#fffce9,#e8b010,der05,wBJRdKXMHcPyHDPEj
Louie,,,,Gorilla,Male,Jock,A,Fitness,3/26,hoo hoo ha,K.K. Fusion,It's all about the muscle.,Active,Simple,Gray,Red,4267,vinyl umbrella,white perforated-board wall,colorful tile flooring,287;546;787;833;1232;1452;1816;3307;3428;4013;4015;4046;4099;4133;7380;7380;7528;7800;7845,exercise bike;stadiometer;tape deck;upright locker;water cooler;weight bench;changing room;digital scale;wall-mounted TV (50 in.);punching bag;shower booth;rattan end table;formal paper;double-sided wall clock;natural wooden-deck rug;natural wooden-deck rug;tool cart;protein shaker bottle;pull-up-bar stand,"3943,2_0",3615,1.0.0,#fffce9,#d86808,gor04,emwaesnBa9EmWvW89
Lucha,,,,Bird,Male,Smug,A,Fitness,12/12,cacaw,K.K. Western,"Birds of a feather, et cetera, et cetera...",Active,Cool,Black,Gray,7199,camo umbrella,ringside seating,boxing-ring mat,1452;1708;4013;7151;7152;7528;7653,weight bench;cassette player;punching bag;red corner;neutral corner;tool cart;speed bag,"3943,0_0","3616,1_0",1.0.0,#fffad4,#ff4040,brd15,se8G8LxivnMhgBiRE
Lucky,,,,Dog,Male,Lazy,B,Play,11/4,rrr-owch,K.K. Dirge,Don't bite the hand that feeds you.,Simple,Simple,Beige,White,4715,orange umbrella,ramshackle wall,swamp flooring,343;343;1326;2592;3446;3446;3446;4271;4757,tiki torch;tiki torch;skeleton;tin bucket;western-style stone;western-style stone;western-style stone;red-leaf pile;throwback skull radio,7142,"3251,4_0",1.0.0,#848484,#ffffff,dog02,WtvwKvChcpgZ4WcQB
Lucy,,,,Pig,Female,Normal,B,Music,6/2,snoooink,K.K. Sonata,The best is yet to come.,Cute,Elegant,Pink,Red,4403,cherry umbrella,heavy-curtain wall,wooden-knot flooring,794;1221;1875;3681;3958;7348;7348;7348;7348;7527;7527;7529;7529;7529;7529,phonograph;video camera;grand piano;piano bench;antique mini table;red carpet;red carpet;red carpet;red carpet;flower stand;flower stand;folding chair;folding chair;folding chair;folding chair,"3943,0_0","3616,4_0",1.0.0,#848484,#ffffff,pig04,8FpMvE2W6YJtmTpiQ
Lyman,,,,Koala,Male,Jock,A,Play,10/12,chips,K.K. Safari,Eucalyptus is the spice of life.,Simple,Active,Aqua,Yellow,3677,tartan-check umbrella,jungle wall,light parquet flooring,1913;2560;2605;3439;3623;3943;4129;4757;7353;7454,wooden chair;wooden chest;wooden simple bed;wooden table;toy box;ironwood DIY workbench;monstera;throwback skull radio;botanical rug;wooden toolbox,"3943,2_0","3270,2_0",1.0.0,#878e86,#a8e989,kal09,cnByupc7McZQg8sNJ
Mac,,,,Dog,Male,Jock,B,Fitness,11/11,woo woof,My Place,Sometimes life is rough.,Active,Cool,Red,Black,2674,camo umbrella,ivy wall,sandlot,1432;1620;1631;1799;3229;3348;3697;4042;4113;4393;7142;7802,lantern;hammock;garden faucet;doghouse;clothesline;plastic pool;portable radio;log bench;hose reel;old-fashioned washtub;simple DIY workbench;pet bed,7142,"3270,2_0",1.0.0,#fffce9,#e8b010,dog14,bLyixhvrCHgBYzvoX
Maddie,,,,Dog,Female,Peppy,A,Play,1/11,yippee,K.K. Stroll,The IT revolution is under way.,Simple,Cute,Purple,Pink,8378,picnic umbrella,meadow vista,wildflower meadow,975;1082;2614;3064;3619;3960;3962;4003;4042;6033;7463;7599,fruit basket;picnic basket;mountain bike;cooler box;soup kettle;handy water cooler;inflatable sofa;cute music player;log bench;outdoor picnic set;peach checked rug;board game,7142,3615,1.0.0,#fffce9,#e8b010,dog09,ebHEDLT4WnnnPtDzK
Maelle,,,,Duck,Female,Snooty,B,Fashion,4/8,duckling,Café K.K.,A wise duck takes care of its bill.,Cool,Simple,Pink,White,3597,Toad parasol,tree-lined wall,sidewalk flooring,918;954;1092;1185;1626;1626;1627;1866;2014;3270;4412;7236;8297,coffee cup;espresso maker;popcorn machine;phone box;iron garden chair;iron garden chair;iron garden table;menu chalkboard;lecture-hall desk;ironwood kitchenette;cotton-candy stall;lily record player;stovetop espresso maker,"3943,2_0","3270,2_0",1.0.0,#9b553a,#ffd00d,duk03,bHTDLovALeQz9PK4z
Maggie,,,,Pig,Female,Normal,A,Nature,9/3,schep,Drivin',All a plant needs is love...and sun and water and soil.,Cute,Elegant,Green,Yellow,8886,petal parasol,backyard-fence wall,flagstone flooring,1625;1626;1627;1628;3943;4003;8419;8419;8419,iron garden bench;iron garden chair;iron garden table;garden lantern;ironwood DIY workbench;cute music player;garden wagon;garden wagon;garden wagon,"1241,0_0","3270,4_0",1.0.0,#9b553a,#ffd00d,pig10,ByLM9r2q7mRAMbgXs
Mallary,,,,Duck,Female,Snooty,B,Fashion,11/17,quackpth,K.K. Bossa,Purple is the color of royalty.,Cool,Gorgeous,Blue,White,2655,striped umbrella,mossy-garden wall,backyard lawn,1624;1628;1631;1829;3509;3775;4003;4100;4113;8419,garden gnome;garden lantern;garden faucet;cypress plant;garden bench;hanging terrarium;cute music player;fire pit;hose reel;garden wagon,"3943,0_0","3270,3_0",1.0.0,#fffce9,#a06fce,duk06,jhXJGTWpk3ycr6kZC
Maple,,,,Bear cub,Female,Normal,B,Education,6/15,honey,Forest Life,"Waste not, want not.",Simple,Cute,Beige,Green,8194,candy umbrella,green blossoming wall,wooden-knot flooring,865;928;1032;1125;1501;1870;2605;3251;3438;3586;3949;4003;4117;4119;7134;7144;7466;9766,birdcage;pot rack;magazine rack;revolving spice rack;Baby bear;mug;wooden simple bed;gas range;wooden end table;magazine;anthurium plant;cute music player;wood-burning stove;macrame tapestry;wooden low table;Mom's cushion;retro dotted rug;mini fridge,"3943,4_0","3251,1_0",1.0.0,#fffce9,#a87850,cbr01,xgPhy4TnDmnzSkZ6o
Marcel,,,,Dog,Male,Lazy,B,Play,12/31,non,Comrade K.K.,There's not a dog so bad that he won't wag his tail.,Simple,Cool,Green,Blue,4407,paper parasol,modern shoji-screen wall,rush tatami,329;717;725;1849;3230;3622;4393;7047;7048;7323;7323;10742;10743,goldfish;clay furnace;paper lantern;kotatsu;futon;floor seat;old-fashioned washtub;zen cushion;pile of zen cushions;brown wooden-deck rug;brown wooden-deck rug;bamboo stool;bamboo speaker,"3943,0_0",717,1.0.0,#848484,#ffffff,dog15,63FsmgrS7QPpFvL3N
Marcie,,,,Kangaroo,Female,Normal,A,Nature,5/31,pouches,K.K. Aria,The road to a friend's house is never long.,Cute,Elegant,Pink,Beige,4429,pink shiny-bows parasol,pink quilt wall,pine-board flooring,88;2560;2740;3305;3616;3996;4003;4109;7132;7134;7336;7531;9542;9565,ringtoss;wooden chest;automatic washer;baby chair;system kitchen;cute wall-mounted clock;cute music player;double-door refrigerator;wooden double bed;wooden low table;white simple small mat;ironing board;Mom's playful kitchen mat;mobile,"1241,4_0","3616,7_0",1.0.0,#fffce9,#f993ce,kgr10,mSJuJRK54zTu3BkHr
Margie,,,,Elephant,Female,Normal,B,Education,1/28,tootie,K.K. Marathon,Keep your feet on the ground.,Elegant,Cute,Pink,Red,3248,hydrangea umbrella,olive Moroccan wall,bamboo flooring,997;1792;3971;3974;4033;4045;4046;4047;4051;4052;4054;4129;4130;4338,incense burner;cushion;imperial partition;imperial low table;traditional tea set;rattan waste bin;rattan end table;rattan stool;rattan vanity;rattan bed;rattan low table;monstera;coconut wall planter;portable record player,"3943,0_0","3251,1_0",1.0.0,#848484,#ffffff,elp04,rnFzZ3Z4gFAv6ouqG
Marina,,,,Octopus,Female,Normal,B,Music,6/26,blurp,Soulful K.K.,"If you can't say something nice, don't say anything at all.",Cute,Cute,Pink,Red,3635,candy umbrella,strawberry-chocolate wall,berry-chocolates flooring,1757;2776;3624;3995;3998;4000;4001;4002;4003,claw-foot tub;tankless toilet;cute bed;cute DIY table;cute sofa;cute tea table;cute vanity;cute floor lamp;cute music player,"3995,0_0","3251,1_0",1.0.0,#fffce9,#f993ce,ocp01,BQCu2GxBFFTuigDAY
Marlo,,,,Hamster,Male,Cranky,B,Education,6/26,gabeesh,K.K. Break,You gotta walk the walk if you're gonna talk the talk.,Cool,Gorgeous,Black,Brown,6029,bat umbrella,cityscape wall,stone tile,794;839;1750;1850;2554;2554;3783;3784;7453;13006;13007,phonograph;safe;document stack;laptop;double sofa;double sofa;den desk;den chair;aluminum briefcase;cool low table;cool side table,"1241,3_0",3615,2.0.0,#fffce9,#515151,ham09,NkF5niJf3uPXo2hGw
Marshal,,,,Squirrel,Male,Smug,A,Music,9/29,sulky,K.K. Bossa,Seize the day.,Elegant,Cool,Aqua,Blue,4277,logo umbrella,blue delicate-blooms wall,modern wood flooring,915;918;920;954;1081;1161;1845;1866;2554;3194;3271;3560;3615;3681;4338;7337;8297;8394;9766,cuckoo clock;coffee cup;coffee grinder;espresso maker;upright piano;cream and sugar;simple kettle;menu chalkboard;double sofa;ironwood low table;ironwood cupboard;iron worktable;open-frame kitchen;piano bench;portable record player;iron entrance mat;stovetop espresso maker;blue kitchen mat;mini fridge,"3943,2_0",3615,1.0.0,#848484,#ffffff,squ17,ZZJJbE5zFrcDXfLEF
Marty,,,,Bear cub,Male,Lazy,A,Play,4/16,pompom,My Place,Just wait until I get started!,Cute,Elegant,Brown,Yellow,13176,mint umbrella,Pompompurin wall,Pompompurin flooring,3270;3993;3995;12257;12258;12259;12260;12261;12262;12293;13176,ironwood kitchenette;analog kitchen scale;cute DIY table;Pompompurin TV;Pompompurin pudding;Pompompurin table;Pompompurin rack;Pompompurin chair;Pompompurin bed;Pompompurin rug;Pompompurin tee,"3995,2_0","3270,4_0",1.9.0,#9a543a,#f8e880,cbr18,MFp6WPLDuq2SKLm5s
Mathilda,,,,Kangaroo,Female,Snooty,B,Fitness,11/12,wee baby,K.K. Chorale,Nail polish is thicker than water.,Cool,Gorgeous,White,Red,3261,patterned vinyl umbrella,blue delicate-blooms wall,arabesque flooring,83;794;915;3206;3615;3623;3951;3952;3957;3958;4069;5543;7284,rocking horse;phonograph;cuckoo clock;wooden-block toy;open-frame kitchen;toy box;antique console table;antique table;antique bed;antique mini table;table lamp;wooden-block stool;nutcracker,"3943,2_0",3615,1.0.0,#fffce9,#515151,kgr01,GSsfXWFSF3FEdbcjA
Megan,,,,Bear,Female,Normal,A,Nature,3/13,sundae,Forest Life,"Take a page out of someone else's book, if it's a good book.",Cute,Simple,Yellow,Aqua,4406,raindrop umbrella,honeycomb wall,dark herringbone flooring,928;1277;2605;3122;3251;3400;3406;3438;3562;3683;3962;4030;4080;8826;9766,pot rack;cacao tree;wooden simple bed;mini DIY workbench;gas range;dish-drying rack;beekeeper's hive;wooden end table;iron wall rack;plain sink;inflatable sofa;bathroom towel rack;long bathtub;wooden table mirror;mini fridge,"3122,7_0","3251,1_0",1.0.0,#fffce9,#ec7efc,bea15,tgsKz4BX3wxFRFrFZ
Melba,,,,Koala,Female,Normal,B,Education,4/12,toasty,K.K. Stroll,A friend who shares is a friend who cares.,Cute,Cute,White,Green,4399,strawberry umbrella,blue blossoming wall,green-paint flooring,1792;2605;2740;3428;3436;3438;3445;3683;3785;4003;4111;4132;4308;7134;7137;7353,cushion;wooden simple bed;automatic washer;wall-mounted TV (50 in.);wooden wardrobe;wooden end table;standard umbrella stand;plain sink;potted ivy;cute music player;old-fashioned alarm clock;yucca;unfinished puzzle;wooden low table;wooden full-length mirror;botanical rug,"3943,4_0","3251,1_0",1.0.0,#fffce9,#e4b887,kal02,sLBs68aveqtjT8HZJ
Merengue,,,,Rhinoceros,Female,Normal,A,Nature,3/19,shortcake,K.K. Ballad,Life is a piece of cake.,Cute,Simple,White,Red,3177,lacy parasol,pastel dotted wall,mint dot flooring,998;1043;1161;1866;3177;3416;3467;3697;3785;3998;4000;4019;4109;4139;7134,kitchen island;microwave;cream and sugar;menu chalkboard;chef's outfit;soft-serve lamp;tea set;portable radio;potted ivy;cute sofa;cute tea table;stand mixer;double-door refrigerator;diner counter table;wooden low table,"3995,0_0","998,0_0",1.0.0,#634b4b,#f2bdc7,rhn07,qxaecyD6f6aHuNZKK
Merry,,,,Cat,Female,Peppy,B,Fashion,6/29,mweee,Neapolitan,A smile increases your face value.,Cute,Cute,Pink,Aqua,3635,fairy-tale umbrella,beaded-curtain wall,orange retro flooring,790;1227;1913;2554;2713;3439;3616;4130;4132,hi-fi stereo;deluxe washer;wooden chair;double sofa;refrigerator;wooden table;system kitchen;coconut wall planter;yucca,"3122,5_0","3616,0_0",1.0.0,#879b96,#fff98f,cat16,uhd4aEuBudwu9pM6E
Midge,,,,Bird,Female,Normal,B,Education,3/12,tweedledee,K.K. Stroll,"When the world gets cold, just fly south.",Cute,Simple,Pink,Pink,9128,petal parasol,yellow quilt wall,cute white-tile flooring,1757;3624;3995;3996;3997;3998;3999;4000;4001;4003;7134,claw-foot tub;cute bed;cute DIY table;cute wall-mounted clock;cute wardrobe;cute sofa;cute chair;cute tea table;cute vanity;cute music player;wooden low table,"3995,1_0","3616,3_0",1.0.0,#fffce9,#ec7efc,brd08,WSnecxx3DREYtZ3p3
Mint,,,,Squirrel,Female,Snooty,B,Fashion,5/2,ahhhhhh,K.K. Soul,Always lead by example.,Gorgeous,Cute,Pink,Purple,2686,peach umbrella,blue subway-tile wall,mint dot flooring,3467;3683;4015;4027;4030;4046;4049;4051;4052;4053;4054;7236,tea set;plain sink;shower booth;floral swag;bathroom towel rack;rattan end table;rattan wardrobe;rattan vanity;rattan bed;rattan armchair;rattan low table;lily record player,"3943,4_0","3270,4_0",1.0.0,#219479,#87e0a9,squ09,TgwEuBB4kt96EXAvt
Mira,,,,Rabbit,Female,Big Sister,A,Fitness,7/6,cottontail,Go K.K. Rider,Always help a friend in need.,Active,Cool,Red,Yellow,9483,rainbow umbrella,heavy-curtain wall,wooden-knot flooring,530;530;531;531;531;531;533;533;533;1708;4763;4763;4763;7524;7524;7529;7529;7529,grass standee;grass standee;hedge standee;hedge standee;hedge standee;hedge standee;tree standee;tree standee;tree standee;cassette player;throwback dino screen;throwback dino screen;throwback dino screen;simple medium avocado mat;simple medium avocado mat;folding chair;folding chair;folding chair,"3122,0_0","3270,1_0",1.0.0,#9b8986,#fff80d,rbt19,ycquvbgfbCzktuLvn
Miranda,,,,Duck,Female,Snooty,B,Fashion,4/23,quackulous,K.K. Sonata,"If the world is flooded, it will be easy for the duck.",Elegant,Gorgeous,Blue,Purple,3387,lacy parasol,arched-window wall,brown iron-parquet flooring,794;987;1840;2554;3955;3957;3958;3974;4106;4129,phonograph;harp;whirlpool bath;double sofa;antique vanity;antique bed;antique mini table;imperial low table;pendulum clock;monstera,"3943,2_0","3616,7_0",1.0.0,#fffce9,#ec7efc,duk12,9AE7bEWmthdc7kZ4m
Mitzi,,,,Cat,Female,Normal,B,Education,9/25,mew,K.K. Love Song,Practice makes purrrfect!,Simple,Simple,Brown,Beige,2686,raindrop umbrella,blue painted-wood wall,light herringbone flooring,1288;2560;2605;2713;3251;3562;7133;7134;7136,fan palm;wooden chest;wooden simple bed;refrigerator;gas range;iron wall rack;wooden mini table;wooden low table;cat grass,"3122,0_0","3251,0_0",1.0.0,#fffce9,#7fa9ff,cat01,4DpkbYXeoySwonvkS
Moe,,,,Cat,Male,Lazy,B,Play,1/12,myawn,Two Days Ago,Ignorance is bliss.,Active,Simple,Black,Gray,7975,pineapple umbrella,blue subway-tile wall,stripe flooring,1559;1561;3208;3623;3995;4003;4759;4761;4762;7134,wooden-block bench;wooden-block chest;wooden-block wall clock;toy box;cute DIY table;cute music player;throwback race-car bed;throwback rocket;throwback container;wooden low table,"3995,0_0","3251,0_0",1.0.0,#fffce9,#0961f6,cat08,EYRuj39J5cS5eYuPD
Molly,,,,Duck,Female,Normal,A,Nature,3/7,quackidee,K.K. Ballad,Like water off a duck's back.,Cute,Simple,Yellow,Pink,8885,white shiny-bows parasol,lattice wall,light herringbone flooring,1058;2554;2560;2605;2772;3467;3785;3956;4003;4125;4132;7134;7334;7465,music stand;double sofa;wooden chest;wooden simple bed;fancy violin;tea set;potted ivy;antique bureau;cute music player;wooden bookshelf;yucca;wooden low table;ivory small round mat;red dotted rug,"3943,2_0","3270,1_0",1.0.0,#fffce9,#e8b010,duk16,4RLK74MDFhcXAQeuL
